timestamp,open,high,low,close,volume
2026-06-07 20:00:00,53308.8,53859.6,53229.3,53789.9,18.73703022
2026-06-07 21:00:00,53789.9,53881.0,53575.4,53664.0,49.4145888
2026-06-07 22:00:00,53693.8,55862.1,53632.6,54610.6,84.67256727
2026-06-07 23:00:00,54610.3,55073.5,54540.3,54961.1,40.79067037
2026-06-08 00:00:00,54961.1,55392.4,54803.1,55175.0,27.78638961
2026-06-08 01:00:00,55182.9,55193.5,54470.0,54797.8,19.52572859
2026-06-08 02:00:00,54850.7,54873.2,54571.0,54755.6,6.2283514
2026-06-08 03:00:00,54750.0,55034.8,54645.9,54733.1,5.25389321
2026-06-08 04:00:00,54739.4,54774.9,54319.0,54355.1,12.60895115
2026-06-08 05:00:00,54344.0,54475.6,54140.1,54464.0,23.67127263
2026-06-08 06:00:00,54464.1,54801.7,54450.1,54683.7,22.04040475
2026-06-08 07:00:00,54688.1,54955.7,54549.8,54926.3,30.44280212
2026-06-08 08:00:00,54926.3,54926.3,54700.0,54835.3,30.49467796
2026-06-08 09:00:00,54833.3,55211.9,54824.2,55131.2,33.33743456
2026-06-08 10:00:00,55131.3,55150.0,54724.2,54757.5,27.79588218
2026-06-08 11:00:00,54769.1,55306.4,54692.1,55006.8,31.83258135
2026-06-08 12:00:00,55003.9,55429.9,54313.1,55292.6,47.87518558
2026-06-08 13:00:00,55303.5,55382.0,54837.0,55229.8,46.39561736
2026-06-08 14:00:00,55248.1,55530.0,55079.9,55411.8,32.64990669
2026-06-08 15:00:00,55441.0,55630.5,55189.6,55251.3,40.89990033
2026-06-08 16:00:00,55256.8,55487.0,55001.4,55063.6,36.66458873
2026-06-08 17:00:00,55053.6,55157.8,54842.1,55074.6,28.09522572
2026-06-08 18:00:00,55073.2,55184.8,54903.9,55049.0,23.73619899
2026-06-08 19:00:00,55055.8,55131.4,54941.5,54962.5,34.24553945
2026-06-08 20:00:00,54962.5,55050.0,54773.8,55050.0,20.36041931
2026-06-08 21:00:00,55050.0,55348.4,55042.9,55242.4,18.72100014
2026-06-08 22:00:00,55252.2,55252.3,54812.6,55007.5,8.24844335
2026-06-08 23:00:00,55015.0,55146.2,54641.0,54711.6,64.16455344
2026-06-09 00:00:00,54721.6,54809.0,54150.0,54254.2,24.78387315
2026-06-09 01:00:00,54252.4,54493.5,54236.6,54415.8,8.49969949
2026-06-09 02:00:00,54397.4,54489.8,54223.8,54481.0,2.08515262
2026-06-09 03:00:00,54492.8,54564.2,54360.0,54493.3,3.83830218
2026-06-09 04:00:00,54492.8,54906.4,54388.7,54776.8,11.82504924
2026-06-09 05:00:00,54775.0,54995.8,54680.5,54855.2,12.27672658
2026-06-09 06:00:00,54855.3,54969.9,54750.5,54822.2,33.06154217
2026-06-09 07:00:00,54822.4,54950.0,54604.8,54756.7,19.44732389
2026-06-09 08:00:00,54756.8,54776.0,54396.1,54406.9,57.82508844
2026-06-09 09:00:00,54401.6,54457.9,54154.5,54232.8,26.94953626
2026-06-09 10:00:00,54233.0,54316.0,54137.6,54294.2,19.02823183
2026-06-09 11:00:00,54282.4,54299.1,54005.7,54179.3,41.60600586
2026-06-09 12:00:00,54176.1,54342.5,53954.4,54122.2,51.56301729
2026-06-09 13:00:00,54123.6,54190.0,53726.4,53845.4,56.36166204
2026-06-09 14:00:00,53827.5,53921.0,52862.7,53194.7,88.44451079
2026-06-09 15:00:00,53218.7,53358.4,52817.3,52886.0,50.46797279
2026-06-09 16:00:00,52886.1,53245.7,52684.2,53168.6,28.31700443
2026-06-09 17:00:00,53174.5,53566.2,53171.6,53404.9,19.97693314
2026-06-09 18:00:00,53404.9,53600.0,53323.4,53461.9,28.48023449
2026-06-09 19:00:00,53468.4,53783.5,53429.1,53783.5,17.75952084
2026-06-09 20:00:00,53774.6,53912.8,53651.1,53830.1,29.53022883
2026-06-09 21:00:00,53830.8,53844.0,53450.0,53503.5,9.94181502
2026-06-09 22:00:00,53505.1,53679.7,53421.0,53477.2,6.09795877
2026-06-09 23:00:00,53477.2,53619.0,53343.0,53495.5,3.5440153
2026-06-10 00:00:00,53504.3,53625.1,53259.0,53610.5,5.39107459
2026-06-10 01:00:00,53628.7,53680.8,53367.6,53455.1,7.41504271
2026-06-10 02:00:00,53465.1,53553.4,53035.1,53094.9,2.37928111
2026-06-10 03:00:00,53094.9,53308.7,53089.1,53266.8,4.36472399
2026-06-10 04:00:00,53265.8,53282.2,52985.8,53062.2,12.54988753
2026-06-10 05:00:00,53062.2,53118.2,52888.1,53073.5,9.70217228
2026-06-10 06:00:00,53073.5,53227.7,52900.0,53196.4,21.33925204
2026-06-10 07:00:00,53196.5,53438.7,53166.8,53370.5,23.94120219
2026-06-10 08:00:00,53372.8,53419.1,52938.9,53012.7,21.90990201
2026-06-10 09:00:00,53009.0,53133.1,52600.0,53041.6,44.58603704
2026-06-10 10:00:00,53046.1,53162.7,52900.8,53108.2,39.42514299
2026-06-10 11:00:00,53115.1,53140.0,52704.1,52882.0,26.93361853
2026-06-10 12:00:00,52881.8,53670.4,52801.5,53293.9,54.94287909
2026-06-10 13:00:00,53293.9,53941.2,53136.7,53702.1,47.72533573
